person_id,country_of_origin,entry_type,previous_profession,current_profession,years_in_us,english_level,education_level,hours_per_week,annual_income,stress_level,job_satisfaction,employment_type,income_per_hour
20,Mexico,work_visa,police_officer,delivery,5,basic,master,48,33488,8,5,self-employed,13.416666666666666
21,Brazil,undocumented,driver,office,10,intermediate,associate,45,46844,5,7,part-time,20.01880341880342
22,Colombia,student_visa,teacher,cleaning,12,basic,high_school,54,41787,10,7,part-time,14.881410256410257
23,India,student_visa,farmer,office,4,basic,associate,56,26977,5,8,full-time,9.26407967032967
24,Mexico,marriage,engineer,cleaning,3,advanced,associate,49,29758,4,6,full-time,11.678963893249607
25,China,work_visa,teacher,IT,1,intermediate,associate,48,74511,8,4,full-time,29.85216346153846
26,India,tourist_visa,construction_worker,cleaning,11,advanced,bachelor,42,29379,7,8,full-time,13.451923076923077
27,India,undocumented,engineer,office,6,basic,high_school,42,25829,5,7,part-time,11.8264652014652
28,Philippines,work_visa,farmer,IT,8,intermediate,high_school,43,98211,5,3,self-employed,43.92262969588551
29,Mexico,student_visa,farmer,construction,1,intermediate,associate,61,47518,10,8,self-employed,14.980453972257251
30,Philippines,marriage,police_officer,construction,8,basic,associate,60,36088,7,6,part-time,11.566666666666666
31,Brazil,work_visa,nurse,delivery,11,basic,master,40,37210,8,8,part-time,17.889423076923077
32,Colombia,undocumented,accountant,construction,10,advanced,bachelor,67,33558,7,5,self-employed,9.63203214695752
33,Brazil,marriage,construction_worker,delivery,7,advanced,associate,49,40859,10,5,full-time,16.035714285714285
34,China,undocumented,farmer,office,12,intermediate,high_school,48,48399,8,5,part-time,19.390625
35,India,marriage,teacher,delivery,1,basic,associate,41,41667,8,3,full-time,19.543621013133208
36,Philippines,student_visa,teacher,construction,1,advanced,associate,58,38326,6,9,full-time,12.707559681697612
37,China,marriage,nurse,cleaning,1,basic,bachelor,50,39423,4,6,full-time,15.162692307692307
38,China,marriage,construction_worker,IT,11,advanced,master,38,118671,10,6,self-employed,60.056174089068826
39,Brazil,tourist_visa,teacher,IT,11,basic,associate,43,85191,6,7,self-employed,38.099731663685155
40,Mexico,undocumented,driver,construction,12,advanced,associate,56,39268,7,8,full-time,13.48489010989011
41,China,marriage,driver,cleaning,1,basic,high_school,51,36960,7,3,full-time,13.936651583710407
42,Philippines,work_visa,construction_worker,delivery,9,basic,bachelor,46,31792,7,9,part-time,13.290969899665551
43,India,marriage,driver,cleaning,1,basic,high_school,52,32545,6,7,part-time,12.03587278106509
44,India,tourist_visa,engineer,cleaning,12,basic,master,42,31802,9,3,part-time,14.561355311355312
45,China,tourist_visa,nurse,cleaning,1,intermediate,bachelor,44,28930,8,9,part-time,12.64423076923077
46,India,work_visa,police_officer,cleaning,5,advanced,associate,41,40257,10,7,self-employed,18.882270168855534
47,Colombia,tourist_visa,farmer,office,3,intermediate,high_school,57,34886,7,4,full-time,11.769905533063428
48,Colombia,student_visa,engineer,delivery,4,advanced,associate,43,36088,10,5,full-time,16.13953488372093
49,Colombia,marriage,construction_worker,delivery,5,intermediate,high_school,42,45534,10,3,full-time,20.8489010989011
50,Mexico,tourist_visa,driver,IT,7,advanced,high_school,49,128494,8,7,self-employed,50.42935635792779
51,China,work_visa,teacher,construction,6,basic,associate,67,43974,8,3,self-employed,12.621699196326063
52,China,marriage,accountant,IT,7,intermediate,master,43,95280,8,9,part-time,42.61180679785331
53,Philippines,marriage,engineer,delivery,12,basic,high_school,42,29805,7,8,full-time,13.646978021978022
54,India,tourist_visa,driver,cleaning,9,intermediate,high_school,57,44021,8,4,part-time,14.851889338731445
55,Philippines,tourist_visa,teacher,construction,7,intermediate,bachelor,69,57527,8,4,full-time,16.033166109253067
56,Colombia,marriage,construction_worker,construction,1,intermediate,associate,62,52407,10,9,part-time,16.2552729528536
57,Colombia,marriage,engineer,healthcare,6,basic,high_school,44,82457,8,5,self-employed,36.0388986013986
58,Mexico,tourist_visa,teacher,healthcare,2,advanced,bachelor,40,76661,4,9,full-time,36.85625
59,Colombia,student_visa,engineer,healthcare,1,basic,master,38,73834,9,7,part-time,37.36538461538461
60,Mexico,undocumented,construction_worker,healthcare,8,intermediate,bachelor,40,62820,9,7,full-time,30.201923076923077
61,Brazil,undocumented,police_officer,construction,11,basic,associate,68,35492,7,9,self-employed,10.037330316742082
62,Colombia,tourist_visa,teacher,cleaning,12,basic,high_school,47,38040,8,6,self-employed,15.564648117839607
63,Philippines,work_visa,farmer,healthcare,2,intermediate,master,44,82002,8,5,part-time,35.84003496503497
64,India,work_visa,accountant,construction,12,advanced,bachelor,53,55330,5,4,part-time,20.076197387518143
65,Brazil,work_visa,accountant,IT,8,advanced,associate,39,124444,6,7,part-time,61.3629191321499
66,Philippines,student_visa,farmer,construction,3,intermediate,bachelor,56,43834,8,5,full-time,15.052884615384615
67,Philippines,undocumented,police_officer,office,11,intermediate,master,40,38460,9,9,part-time,18.490384615384617
68,Mexico,work_visa,teacher,delivery,6,intermediate,master,52,38698,10,5,self-employed,14.31139053254438
69,Mexico,undocumented,nurse,cleaning,9,advanced,high_school,48,29309,8,3,full-time,11.742387820512821
70,Colombia,work_visa,farmer,healthcare,7,advanced,master,44,66622,9,3,self-employed,29.118006993006993
71,Brazil,marriage,farmer,cleaning,4,advanced,master,50,30412,5,5,part-time,11.696923076923078
72,China,tourist_visa,accountant,delivery,8,advanced,high_school,55,48279,4,8,full-time,16.880769230769232
73,Colombia,marriage,accountant,office,4,intermediate,high_school,57,41601,7,8,part-time,14.035425101214575
74,India,undocumented,nurse,IT,9,advanced,bachelor,47,108832,9,6,full-time,44.53027823240589
75,China,work_visa,farmer,healthcare,2,basic,master,39,86465,5,9,self-employed,42.63560157790927
76,China,marriage,nurse,cleaning,11,basic,associate,54,46361,6,7,self-employed,16.510327635327634
77,Philippines,marriage,construction_worker,cleaning,6,intermediate,associate,46,26742,7,6,self-employed,11.179765886287626
78,Philippines,work_visa,accountant,healthcare,7,basic,high_school,42,83844,5,4,self-employed,38.39010989010989
79,Brazil,marriage,teacher,office,8,intermediate,bachelor,43,39493,8,5,full-time,17.662343470483005
80,Mexico,work_visa,accountant,office,4,advanced,master,59,35229,8,3,self-employed,11.482724902216427
81,Colombia,undocumented,engineer,delivery,9,advanced,high_school,53,35708,5,7,part-time,12.95645863570392
82,Mexico,tourist_visa,construction_worker,IT,6,intermediate,bachelor,38,117347,7,6,self-employed,59.38613360323887
83,Brazil,tourist_visa,teacher,IT,3,advanced,bachelor,42,94475,7,3,full-time,43.25778388278388
84,Mexico,tourist_visa,police_officer,healthcare,2,advanced,master,41,71276,4,4,part-time,33.431519699812384
85,India,work_visa,police_officer,healthcare,6,advanced,associate,42,73500,4,7,full-time,33.65384615384615
86,Colombia,work_visa,driver,delivery,12,basic,bachelor,56,32420,7,5,part-time,11.133241758241759
87,Brazil,work_visa,driver,IT,5,intermediate,associate,39,108247,6,8,part-time,53.37623274161736
88,India,undocumented,nurse,construction,10,intermediate,bachelor,64,31714,8,9,part-time,9.529447115384615
89,Colombia,undocumented,teacher,construction,11,advanced,high_school,70,45144,4,9,part-time,12.402197802197803
90,Mexico,undocumented,teacher,construction,7,basic,high_school,55,51939,7,4,full-time,18.160489510489512
91,India,marriage,accountant,healthcare,12,basic,master,40,76621,10,6,self-employed,36.83701923076923
92,Brazil,undocumented,police_officer,healthcare,5,basic,high_school,45,83267,9,6,part-time,35.58418803418803
93,Philippines,student_visa,accountant,delivery,9,advanced,master,44,48146,10,3,part-time,21.042832167832167
94,Philippines,marriage,police_officer,healthcare,4,advanced,bachelor,40,84045,10,3,full-time,40.40625
95,China,work_visa,nurse,construction,6,intermediate,associate,62,35842,5,7,full-time,11.117245657568239
96,China,work_visa,nurse,cleaning,4,advanced,bachelor,54,37628,4,4,self-employed,13.4002849002849
97,Colombia,marriage,police_officer,cleaning,7,advanced,associate,57,38817,7,6,full-time,13.096153846153847
98,China,student_visa,driver,healthcare,9,basic,master,43,66964,9,7,self-employed,29.948121645796064
99,India,student_visa,police_officer,healthcare,11,basic,bachelor,43,80015,8,3,self-employed,35.78488372093023
100,Philippines,tourist_visa,driver,IT,9,advanced,master,43,112040,6,5,self-employed,50.10733452593918
101,China,marriage,farmer,healthcare,11,advanced,master,38,74717,8,9,self-employed,37.81224696356275
102,China,undocumented,construction_worker,office,1,advanced,bachelor,55,29811,9,8,full-time,10.423426573426573
103,Brazil,marriage,driver,delivery,2,intermediate,bachelor,47,28383,6,6,part-time,11.613338788870704
104,India,undocumented,engineer,cleaning,10,basic,bachelor,52,30665,10,7,part-time,11.340606508875739
105,Colombia,student_visa,nurse,office,7,basic,bachelor,44,27149,7,6,full-time,11.865821678321678
106,Philippines,tourist_visa,driver,construction,7,basic,master,67,40434,9,4,full-time,11.605625717566015
107,Philippines,work_visa,construction_worker,IT,6,basic,associate,48,105217,10,8,part-time,42.154246794871796
108,Brazil,work_visa,farmer,IT,7,basic,master,38,88822,10,7,full-time,44.95040485829959
109,India,student_visa,nurse,delivery,6,advanced,associate,52,49416,8,7,part-time,18.275147928994084
110,Mexico,marriage,nurse,cleaning,5,intermediate,associate,49,32679,9,6,part-time,12.825353218210362
111,China,marriage,construction_worker,delivery,4,basic,high_school,44,26191,6,8,self-employed,11.447115384615385
112,China,work_visa,nurse,healthcare,10,basic,bachelor,42,61625,5,4,self-employed,28.21657509157509
113,Colombia,work_visa,farmer,cleaning,8,advanced,associate,50,49560,4,7,self-employed,19.06153846153846
114,China,student_visa,accountant,construction,3,intermediate,high_school,66,56284,7,9,part-time,16.3997668997669
115,China,marriage,farmer,cleaning,8,advanced,associate,60,45508,10,6,self-employed,14.585897435897436
116,Colombia,work_visa,police_officer,delivery,9,intermediate,high_school,52,26672,8,3,self-employed,9.863905325443787
117,Brazil,tourist_visa,construction_worker,construction,9,basic,associate,59,39874,5,7,self-employed,12.996740547588006
118,China,undocumented,police_officer,delivery,3,advanced,associate,59,35276,7,8,part-time,11.498044328552803
119,Colombia,undocumented,construction_worker,construction,6,basic,associate,50,59637,4,3,self-employed,22.93730769230769
120,Colombia,undocumented,driver,cleaning,4,basic,master,44,46744,9,7,full-time,20.43006993006993
121,Mexico,marriage,teacher,healthcare,6,basic,high_school,42,87751,10,3,full-time,40.17902930402931
122,China,marriage,engineer,IT,10,basic,high_school,48,123707,8,4,self-employed,49.56209935897436
123,Colombia,undocumented,teacher,IT,2,basic,master,39,117004,10,6,part-time,57.69428007889547
124,Mexico,work_visa,engineer,IT,11,advanced,high_school,43,74952,4,8,self-employed,33.52057245080501
125,Colombia,work_visa,accountant,delivery,3,advanced,high_school,58,49517,5,4,self-employed,16.41810344827586
126,Brazil,marriage,driver,construction,2,advanced,master,59,39829,4,6,self-employed,12.982073011734029
127,Mexico,undocumented,construction_worker,construction,10,basic,master,64,41888,4,9,full-time,12.586538461538462
128,Philippines,student_visa,farmer,IT,6,intermediate,bachelor,47,127006,4,6,part-time,51.96644844517185
129,Brazil,tourist_visa,farmer,office,9,intermediate,master,49,48298,8,8,self-employed,18.9552590266876
130,Mexico,student_visa,construction_worker,healthcare,1,basic,high_school,40,60843,9,8,part-time,29.251442307692308
131,Mexico,undocumented,accountant,cleaning,2,intermediate,high_school,46,35137,9,6,full-time,14.68938127090301
132,Colombia,marriage,driver,delivery,1,advanced,master,52,46697,5,8,full-time,17.269600591715978
133,China,work_visa,nurse,delivery,8,advanced,master,52,32041,9,4,full-time,11.84948224852071
134,Brazil,work_visa,accountant,office,10,intermediate,high_school,50,26797,8,9,self-employed,10.306538461538462
135,Colombia,undocumented,police_officer,construction,10,advanced,master,52,50364,9,7,self-employed,18.625739644970412
136,Colombia,work_visa,construction_worker,office,8,advanced,associate,43,39148,8,9,full-time,17.508050089445437
137,China,marriage,accountant,cleaning,7,intermediate,bachelor,54,49091,9,7,part-time,17.48254985754986
138,Brazil,work_visa,police_officer,cleaning,4,intermediate,high_school,48,46709,8,5,self-employed,18.713541666666668
139,India,undocumented,nurse,office,12,intermediate,associate,43,46684,4,3,full-time,20.8783542039356
140,India,marriage,police_officer,IT,3,advanced,master,50,91685,10,8,part-time,35.26346153846154
141,China,marriage,accountant,healthcare,8,advanced,master,39,69124,7,7,full-time,34.08481262327416
142,India,marriage,farmer,office,12,advanced,bachelor,57,44922,6,6,full-time,15.15587044534413
143,Mexico,marriage,farmer,construction,10,basic,associate,60,53273,6,7,full-time,17.074679487179488
144,Colombia,work_visa,police_officer,delivery,7,advanced,high_school,48,34833,9,6,self-employed,13.955528846153847
145,Brazil,tourist_visa,driver,cleaning,6,intermediate,master,57,35415,5,8,self-employed,11.94838056680162
146,China,work_visa,engineer,healthcare,12,advanced,associate,43,86295,8,3,part-time,38.59347048300537
147,Mexico,marriage,accountant,construction,11,basic,master,52,51446,5,7,self-employed,19.025887573964496
148,Brazil,undocumented,teacher,healthcare,8,advanced,bachelor,44,72776,9,5,part-time,31.807692307692307
149,Philippines,student_visa,farmer,construction,12,basic,bachelor,63,33712,7,5,self-employed,10.290598290598291
150,Brazil,tourist_visa,engineer,office,6,basic,associate,45,26284,8,5,full-time,11.232478632478632
151,Colombia,marriage,farmer,healthcare,9,basic,high_school,42,71846,10,6,self-employed,32.896520146520146
152,Brazil,undocumented,driver,cleaning,3,intermediate,master,59,49621,4,3,part-time,16.173728813559322
153,Philippines,student_visa,construction_worker,office,6,basic,master,52,35182,4,5,full-time,13.011094674556213
154,India,undocumented,nurse,delivery,3,advanced,master,41,31736,4,8,full-time,14.885553470919325
155,Mexico,undocumented,construction_worker,construction,8,basic,high_school,69,50004,4,3,self-employed,13.936454849498327
156,Mexico,tourist_visa,teacher,cleaning,2,basic,master,40,34670,7,6,self-employed,16.66826923076923
157,China,tourist_visa,construction_worker,IT,2,advanced,bachelor,48,128863,6,8,self-employed,51.62780448717949
158,China,work_visa,construction_worker,cleaning,2,intermediate,bachelor,56,37624,5,6,self-employed,12.92032967032967
159,Mexico,student_visa,teacher,cleaning,8,basic,bachelor,48,45923,8,7,full-time,18.39863782051282
160,Brazil,undocumented,teacher,office,8,intermediate,bachelor,59,43668,5,9,full-time,14.233376792698827
161,India,tourist_visa,driver,IT,2,advanced,master,46,94463,7,3,part-time,39.49122073578595
162,Mexico,tourist_visa,farmer,office,1,intermediate,bachelor,58,49646,10,9,self-employed,16.46087533156499
163,Mexico,tourist_visa,police_officer,office,8,basic,high_school,50,37215,5,7,part-time,14.313461538461539
164,China,undocumented,construction_worker,healthcare,9,basic,master,39,87525,7,7,full-time,43.15828402366864
165,Mexico,work_visa,driver,office,9,intermediate,master,55,46180,8,9,part-time,16.146853146853147
166,Mexico,work_visa,construction_worker,IT,1,basic,associate,43,95283,7,4,self-employed,42.61314847942755
167,Philippines,student_visa,teacher,office,1,intermediate,associate,53,42479,9,8,full-time,15.413280116110304
168,Brazil,student_visa,farmer,delivery,7,advanced,master,42,48884,5,7,self-employed,22.382783882783883
169,Mexico,marriage,police_officer,construction,6,advanced,master,59,57160,7,5,self-employed,18.63102998696219
170,Brazil,tourist_visa,driver,cleaning,7,basic,master,51,43699,7,4,part-time,16.477752639517345
171,India,marriage,engineer,cleaning,4,intermediate,bachelor,56,46626,10,8,part-time,16.011675824175825
172,Brazil,undocumented,driver,healthcare,4,advanced,bachelor,39,78466,9,5,full-time,38.69132149901381
173,Colombia,student_visa,police_officer,office,7,advanced,associate,60,36681,7,3,full-time,11.756730769230769
174,India,work_visa,nurse,delivery,6,advanced,associate,40,47775,9,7,full-time,22.96875
175,Colombia,undocumented,farmer,construction,7,intermediate,high_school,57,41123,6,5,part-time,13.874156545209177
176,Colombia,work_visa,police_officer,delivery,11,advanced,high_school,55,31253,6,8,part-time,10.927622377622377
177,India,work_visa,accountant,office,11,advanced,bachelor,55,36781,7,5,self-employed,12.86048951048951
178,China,work_visa,nurse,construction,8,intermediate,high_school,54,32178,7,5,self-employed,11.459401709401709
179,Brazil,undocumented,farmer,IT,11,intermediate,associate,39,70205,7,3,self-employed,34.61785009861933
180,Philippines,tourist_visa,nurse,office,3,intermediate,high_school,58,39875,8,9,self-employed,13.221153846153847
181,Brazil,undocumented,engineer,delivery,9,advanced,associate,58,31516,7,6,self-employed,10.449602122015914
182,Mexico,student_visa,accountant,delivery,10,intermediate,bachelor,41,31265,7,4,full-time,14.664634146341463
183,Brazil,marriage,construction_worker,construction,6,basic,master,59,38457,8,8,part-time,12.534876140808343
184,Philippines,tourist_visa,driver,healthcare,10,advanced,master,44,83802,6,9,full-time,36.62674825174825
185,Mexico,work_visa,farmer,delivery,5,advanced,high_school,49,28118,10,7,part-time,11.035321821036106
186,Philippines,student_visa,construction_worker,IT,3,intermediate,associate,40,110147,9,8,self-employed,52.95528846153846
187,China,student_visa,construction_worker,construction,3,intermediate,high_school,52,33973,5,4,self-employed,12.563979289940828
188,India,undocumented,police_officer,IT,3,intermediate,associate,45,74882,9,8,part-time,32.0008547008547
189,Mexico,tourist_visa,farmer,IT,12,advanced,bachelor,47,86884,6,5,self-employed,35.54991816693944
190,India,work_visa,teacher,delivery,8,intermediate,bachelor,56,30256,8,7,part-time,10.39010989010989
191,India,work_visa,construction_worker,construction,9,advanced,master,67,51062,9,3,self-employed,14.656142365097589
192,Colombia,student_visa,engineer,cleaning,12,basic,high_school,47,34485,8,8,part-time,14.110065466448445
193,Mexico,tourist_visa,construction_worker,delivery,2,advanced,high_school,49,42133,7,3,part-time,16.535714285714285
194,Mexico,marriage,accountant,office,5,intermediate,associate,53,30599,10,4,full-time,11.102685050798259
195,India,student_visa,accountant,cleaning,12,advanced,associate,52,48332,8,8,self-employed,17.874260355029588
196,Philippines,marriage,teacher,healthcare,10,advanced,associate,40,74236,4,6,full-time,35.690384615384616
197,Brazil,student_visa,police_officer,IT,1,intermediate,master,45,120096,9,3,self-employed,51.323076923076925
198,China,marriage,farmer,construction,7,basic,bachelor,66,46242,4,4,part-time,13.473776223776223
199,Colombia,marriage,engineer,healthcare,12,basic,master,39,65048,5,9,part-time,32.07495069033531
200,Philippines,undocumented,construction_worker,construction,6,intermediate,high_school,69,37885,8,6,full-time,10.558807134894092
201,Brazil,undocumented,farmer,cleaning,12,advanced,high_school,44,41297,10,7,self-employed,18.049388111888113
202,China,work_visa,police_officer,office,10,intermediate,master,60,25666,8,7,full-time,8.226282051282052
203,Colombia,tourist_visa,teacher,cleaning,9,intermediate,master,50,45593,10,4,part-time,17.53576923076923
204,Brazil,tourist_visa,nurse,delivery,4,advanced,bachelor,43,36418,5,5,full-time,16.287119856887298
205,China,tourist_visa,police_officer,IT,11,basic,high_school,44,83553,6,8,full-time,36.51791958041958
206,Mexico,student_visa,construction_worker,cleaning,6,basic,high_school,55,30327,4,4,full-time,10.603846153846154
207,India,undocumented,accountant,cleaning,4,basic,associate,47,35432,10,7,full-time,14.497545008183305
208,Colombia,marriage,driver,construction,2,advanced,bachelor,54,36106,9,3,full-time,12.858262108262108
209,Brazil,tourist_visa,driver,healthcare,4,basic,bachelor,44,88730,6,8,part-time,38.78059440559441
210,China,undocumented,construction_worker,construction,5,basic,high_school,64,42622,6,7,part-time,12.807091346153847
211,India,work_visa,farmer,office,2,intermediate,high_school,52,44783,7,6,full-time,16.561760355029588
212,Mexico,tourist_visa,accountant,cleaning,10,advanced,master,41,42090,4,6,full-time,19.74202626641651
213,Colombia,work_visa,accountant,cleaning,6,basic,master,46,37950,5,6,self-employed,15.865384615384615
214,Philippines,work_visa,engineer,delivery,9,intermediate,master,55,49493,8,4,part-time,17.305244755244754
215,China,student_visa,driver,cleaning,5,advanced,associate,52,30075,6,6,full-time,11.122411242603551
216,Colombia,undocumented,driver,construction,1,intermediate,associate,56,48111,7,5,full-time,16.521634615384617
217,India,tourist_visa,farmer,construction,7,advanced,master,57,35104,4,9,self-employed,11.843454790823213
218,Brazil,tourist_visa,engineer,healthcare,4,intermediate,master,40,85339,10,8,part-time,41.028365384615384
219,China,work_visa,teacher,office,12,basic,master,59,27388,10,4,self-employed,8.926988265971318
220,China,student_visa,police_officer,cleaning,1,advanced,bachelor,44,48726,10,3,full-time,21.29632867132867
221,India,work_visa,driver,healthcare,7,advanced,bachelor,42,72807,9,9,part-time,33.33653846153846
222,Mexico,marriage,nurse,office,3,basic,associate,41,47138,5,3,part-time,22.109756097560975
223,China,student_visa,farmer,construction,2,advanced,bachelor,64,39062,8,4,part-time,11.737379807692308
224,China,marriage,construction_worker,office,5,intermediate,associate,60,42787,4,9,self-employed,13.71378205128205
225,Brazil,tourist_visa,construction_worker,office,5,intermediate,associate,52,45985,4,6,part-time,17.006286982248522
226,Colombia,work_visa,police_officer,office,11,intermediate,high_school,55,29379,4,8,part-time,10.272377622377622
227,Philippines,undocumented,farmer,office,7,basic,high_school,51,36645,5,7,part-time,13.81787330316742
228,Colombia,undocumented,police_officer,construction,7,basic,high_school,63,32661,10,5,part-time,9.969780219780219
229,China,undocumented,police_officer,construction,11,advanced,bachelor,63,40195,7,7,part-time,12.26953601953602
230,Philippines,undocumented,farmer,IT,2,basic,associate,43,70844,9,6,self-employed,31.683363148479426
231,Colombia,tourist_visa,nurse,office,7,intermediate,master,59,43155,10,3,full-time,14.066166883963493
232,Philippines,marriage,accountant,office,4,advanced,bachelor,57,47612,9,6,full-time,16.063427800269906
233,India,tourist_visa,nurse,healthcare,3,advanced,master,45,74186,4,9,self-employed,31.703418803418803
234,Mexico,tourist_visa,police_officer,IT,9,intermediate,associate,48,100744,6,4,part-time,40.36217948717949
235,Brazil,tourist_visa,teacher,cleaning,7,advanced,associate,40,46949,10,6,full-time,22.571634615384614
236,India,tourist_visa,teacher,healthcare,4,basic,associate,44,60587,4,8,full-time,26.480332167832167
237,Philippines,work_visa,accountant,office,1,basic,associate,55,48351,10,6,part-time,16.905944055944055
238,India,student_visa,teacher,healthcare,6,intermediate,bachelor,44,60170,7,6,full-time,26.298076923076923
239,Colombia,marriage,engineer,healthcare,8,advanced,high_school,43,70485,8,4,self-employed,31.522808586762075
240,Mexico,student_visa,driver,IT,10,intermediate,bachelor,50,83660,6,9,full-time,32.176923076923075
241,China,undocumented,teacher,healthcare,10,advanced,associate,44,86369,9,8,self-employed,37.74868881118881
242,China,tourist_visa,driver,IT,9,intermediate,bachelor,43,85173,5,3,full-time,38.091681574239715
243,Colombia,marriage,nurse,office,1,advanced,master,60,48664,7,3,self-employed,15.597435897435897
244,Philippines,undocumented,accountant,cleaning,4,advanced,high_school,50,43048,5,5,part-time,16.556923076923077
245,China,work_visa,engineer,cleaning,6,intermediate,bachelor,44,39576,5,7,part-time,17.297202797202797
246,Mexico,work_visa,engineer,office,5,advanced,associate,55,44642,8,9,self-employed,15.60909090909091
247,China,student_visa,construction_worker,delivery,2,intermediate,associate,48,46250,9,5,self-employed,18.529647435897434
248,India,tourist_visa,driver,office,1,advanced,master,52,43909,7,3,self-employed,16.23853550295858
249,Brazil,work_visa,teacher,cleaning,4,basic,master,45,42661,5,4,full-time,18.23119658119658
250,China,undocumented,nurse,IT,5,intermediate,bachelor,43,103703,6,6,part-time,46.378801431127016
251,India,student_visa,police_officer,IT,11,basic,bachelor,42,95902,6,9,self-employed,43.91117216117216
252,Colombia,tourist_visa,engineer,delivery,11,basic,associate,58,33912,5,7,full-time,11.244031830238727
253,China,marriage,police_officer,healthcare,1,intermediate,master,38,72359,10,4,part-time,36.618927125506076
254,China,marriage,nurse,IT,4,advanced,associate,41,76684,4,4,part-time,35.968105065666045
255,Brazil,student_visa,police_officer,construction,1,intermediate,master,50,54905,5,9,full-time,21.11730769230769
256,Mexico,student_visa,teacher,office,9,basic,master,48,39531,9,9,self-employed,15.837740384615385
257,China,tourist_visa,accountant,delivery,6,basic,associate,57,35294,9,4,self-employed,11.907557354925776
258,Brazil,student_visa,accountant,cleaning,8,advanced,associate,41,30822,10,7,part-time,14.456848030018762
259,Colombia,student_visa,engineer,construction,1,advanced,high_school,70,30989,5,8,full-time,8.513461538461538
260,China,student_visa,engineer,IT,11,intermediate,high_school,41,119794,10,8,full-time,56.188555347091935
261,India,work_visa,nurse,construction,8,basic,master,69,33789,4,4,self-employed,9.417224080267559
262,Brazil,student_visa,engineer,construction,6,intermediate,master,63,57894,9,3,full-time,17.67216117216117
263,Brazil,undocumented,driver,healthcare,5,advanced,bachelor,39,77480,7,7,full-time,38.205128205128204
264,India,undocumented,construction_worker,cleaning,12,intermediate,bachelor,59,40992,7,4,self-employed,13.361147327249022
265,China,tourist_visa,teacher,office,12,basic,master,60,41130,9,5,part-time,13.182692307692308
266,India,work_visa,nurse,cleaning,7,advanced,associate,42,37692,9,9,full-time,17.25824175824176
267,Philippines,student_visa,police_officer,office,2,advanced,high_school,43,26023,6,7,part-time,11.63819320214669
268,Mexico,tourist_visa,accountant,IT,7,advanced,associate,45,86555,7,7,self-employed,36.98931623931624
269,Mexico,undocumented,police_officer,construction,4,intermediate,bachelor,60,35499,9,7,self-employed,11.377884615384616
270,Brazil,work_visa,teacher,construction,6,intermediate,bachelor,51,40455,5,8,part-time,15.254524886877828
271,Brazil,work_visa,farmer,delivery,1,intermediate,master,41,38763,5,3,full-time,18.181519699812384
272,India,tourist_visa,driver,office,9,basic,master,43,28874,4,9,full-time,12.913237924865832
273,Brazil,tourist_visa,accountant,office,6,advanced,master,43,45424,9,9,self-employed,20.31484794275492
274,Brazil,undocumented,farmer,cleaning,9,advanced,master,52,42333,8,7,full-time,15.65569526627219
275,India,work_visa,engineer,office,8,intermediate,high_school,41,42837,5,8,full-time,20.092401500938088
276,China,marriage,driver,IT,5,basic,master,44,128192,5,8,full-time,56.02797202797203
277,Brazil,tourist_visa,police_officer,office,5,basic,master,51,26545,9,6,part-time,10.009426847662143
278,China,student_visa,construction_worker,cleaning,3,advanced,bachelor,51,46588,7,6,self-employed,17.56711915535445
