person_id,country_of_origin,entry_type,previous_profession,current_profession,years_in_us,english_level,education_level,hours_per_week,annual_income,stress_level,job_satisfaction,employment_type
33,Brazil,marriage,construction_worker,delivery,7,advanced,associate,49,40859,10,5,full-time
34,China,undocumented,farmer,office,12,intermediate,high_school,48,48399,8,5,part-time
35,India,marriage,teacher,delivery,1,basic,associate,41,41667,8,3,full-time
36,Philippines,student_visa,teacher,construction,1,advanced,associate,58,38326,6,9,full-time
37,China,marriage,nurse,cleaning,1,basic,bachelor,50,39423,4,6,full-time
38,China,marriage,construction_worker,IT,11,advanced,master,38,118671,10,6,self-employed
39,Brazil,tourist_visa,teacher,IT,11,basic,associate,43,85191,6,7,self-employed
40,Mexico,undocumented,driver,construction,12,advanced,associate,56,39268,7,8,full-time
41,China,marriage,driver,cleaning,1,basic,high_school,51,36960,7,3,full-time
42,Philippines,work_visa,construction_worker,delivery,9,basic,bachelor,46,31792,7,9,part-time
43,India,marriage,driver,cleaning,1,basic,high_school,52,32545,6,7,part-time
44,India,tourist_visa,engineer,cleaning,12,basic,master,42,31802,9,3,part-time
45,China,tourist_visa,nurse,cleaning,1,intermediate,bachelor,44,28930,8,9,part-time
46,India,work_visa,police_officer,cleaning,5,advanced,associate,41,40257,10,7,self-employed
47,Colombia,tourist_visa,farmer,office,3,intermediate,high_school,57,34886,7,4,full-time
48,Colombia,student_visa,engineer,delivery,4,advanced,associate,43,36088,10,5,full-time
49,Colombia,marriage,construction_worker,delivery,5,intermediate,high_school,42,45534,10,3,full-time
50,Mexico,tourist_visa,driver,IT,7,advanced,high_school,49,128494,8,7,self-employed
51,China,work_visa,teacher,construction,6,basic,associate,67,43974,8,3,self-employed
52,China,marriage,accountant,IT,7,intermediate,master,43,95280,8,9,part-time
53,Philippines,marriage,engineer,delivery,12,basic,high_school,42,29805,7,8,full-time
54,India,tourist_visa,driver,cleaning,9,intermediate,high_school,57,44021,8,4,part-time
55,Philippines,tourist_visa,teacher,construction,7,intermediate,bachelor,69,57527,8,4,full-time
56,Colombia,marriage,construction_worker,construction,1,intermediate,associate,62,52407,10,9,part-time
57,Colombia,marriage,engineer,healthcare,6,basic,high_school,44,82457,8,5,self-employed
58,Mexico,tourist_visa,teacher,healthcare,2,advanced,bachelor,40,76661,4,9,full-time
59,Colombia,student_visa,engineer,healthcare,1,basic,master,38,73834,9,7,part-time
60,Mexico,undocumented,construction_worker,healthcare,8,intermediate,bachelor,40,62820,9,7,full-time
61,Brazil,undocumented,police_officer,construction,11,basic,associate,68,35492,7,9,self-employed
62,Colombia,tourist_visa,teacher,cleaning,12,basic,high_school,47,38040,8,6,self-employed
63,Philippines,work_visa,farmer,healthcare,2,intermediate,master,44,82002,8,5,part-time
64,India,work_visa,accountant,construction,12,advanced,bachelor,53,55330,5,4,part-time
65,Brazil,work_visa,accountant,IT,8,advanced,associate,39,124444,6,7,part-time
66,Philippines,student_visa,farmer,construction,3,intermediate,bachelor,56,43834,8,5,full-time
67,Philippines,undocumented,police_officer,office,11,intermediate,master,40,38460,9,9,part-time
68,Mexico,work_visa,teacher,delivery,6,intermediate,master,52,38698,10,5,self-employed
69,Mexico,undocumented,nurse,cleaning,9,advanced,high_school,48,29309,8,3,full-time
70,Colombia,work_visa,farmer,healthcare,7,advanced,master,44,66622,9,3,self-employed
71,Brazil,marriage,farmer,cleaning,4,advanced,master,50,30412,5,5,part-time
72,China,tourist_visa,accountant,delivery,8,advanced,high_school,55,48279,4,8,full-time
73,Colombia,marriage,accountant,office,4,intermediate,high_school,57,41601,7,8,part-time
74,India,undocumented,nurse,IT,9,advanced,bachelor,47,108832,9,6,full-time
75,China,work_visa,farmer,healthcare,2,basic,master,39,86465,5,9,self-employed
76,China,marriage,nurse,cleaning,11,basic,associate,54,46361,6,7,self-employed
77,Philippines,marriage,construction_worker,cleaning,6,intermediate,associate,46,26742,7,6,self-employed
78,Philippines,work_visa,accountant,healthcare,7,basic,high_school,42,83844,5,4,self-employed
79,Brazil,marriage,teacher,office,8,intermediate,bachelor,43,39493,8,5,full-time
80,Mexico,work_visa,accountant,office,4,advanced,master,59,35229,8,3,self-employed
81,Colombia,undocumented,engineer,delivery,9,advanced,high_school,53,35708,5,7,part-time
82,Mexico,tourist_visa,construction_worker,IT,6,intermediate,bachelor,38,117347,7,6,self-employed
83,Brazil,tourist_visa,teacher,IT,3,advanced,bachelor,42,94475,7,3,full-time
84,Mexico,tourist_visa,police_officer,healthcare,2,advanced,master,41,71276,4,4,part-time
85,India,work_visa,police_officer,healthcare,6,advanced,associate,42,73500,4,7,full-time
86,Colombia,work_visa,driver,delivery,12,basic,bachelor,56,32420,7,5,part-time
87,Brazil,work_visa,driver,IT,5,intermediate,associate,39,108247,6,8,part-time
88,India,undocumented,nurse,construction,10,intermediate,bachelor,64,31714,8,9,part-time
89,Colombia,undocumented,teacher,construction,11,advanced,high_school,70,45144,4,9,part-time
90,Mexico,undocumented,teacher,construction,7,basic,high_school,55,51939,7,4,full-time
91,India,marriage,accountant,healthcare,12,basic,master,40,76621,10,6,self-employed
92,Brazil,undocumented,police_officer,healthcare,5,basic,high_school,45,83267,9,6,part-time
93,Philippines,student_visa,accountant,delivery,9,advanced,master,44,48146,10,3,part-time
94,Philippines,marriage,police_officer,healthcare,4,advanced,bachelor,40,84045,10,3,full-time
95,China,work_visa,nurse,construction,6,intermediate,associate,62,35842,5,7,full-time
96,China,work_visa,nurse,cleaning,4,advanced,bachelor,54,37628,4,4,self-employed
97,Colombia,marriage,police_officer,cleaning,7,advanced,associate,57,38817,7,6,full-time
98,China,student_visa,driver,healthcare,9,basic,master,43,66964,9,7,self-employed
99,India,student_visa,police_officer,healthcare,11,basic,bachelor,43,80015,8,3,self-employed
100,Philippines,tourist_visa,driver,IT,9,advanced,master,43,112040,6,5,self-employed
101,China,marriage,farmer,healthcare,11,advanced,master,38,74717,8,9,self-employed
102,China,undocumented,construction_worker,office,1,advanced,bachelor,55,29811,9,8,full-time
103,Brazil,marriage,driver,delivery,2,intermediate,bachelor,47,28383,6,6,part-time
104,India,undocumented,engineer,cleaning,10,basic,bachelor,52,30665,10,7,part-time
105,Colombia,student_visa,nurse,office,7,basic,bachelor,44,27149,7,6,full-time
106,Philippines,tourist_visa,driver,construction,7,basic,master,67,40434,9,4,full-time
107,Philippines,work_visa,construction_worker,IT,6,basic,associate,48,105217,10,8,part-time
108,Brazil,work_visa,farmer,IT,7,basic,master,38,88822,10,7,full-time
109,India,student_visa,nurse,delivery,6,advanced,associate,52,49416,8,7,part-time
110,Mexico,marriage,nurse,cleaning,5,intermediate,associate,49,32679,9,6,part-time
111,China,marriage,construction_worker,delivery,4,basic,high_school,44,26191,6,8,self-employed
112,China,work_visa,nurse,healthcare,10,basic,bachelor,42,61625,5,4,self-employed
113,Colombia,work_visa,farmer,cleaning,8,advanced,associate,50,49560,4,7,self-employed
114,China,student_visa,accountant,construction,3,intermediate,high_school,66,56284,7,9,part-time
115,China,marriage,farmer,cleaning,8,advanced,associate,60,45508,10,6,self-employed
116,Colombia,work_visa,police_officer,delivery,9,intermediate,high_school,52,26672,8,3,self-employed
117,Brazil,tourist_visa,construction_worker,construction,9,basic,associate,59,39874,5,7,self-employed
118,China,undocumented,police_officer,delivery,3,advanced,associate,59,35276,7,8,part-time
119,Colombia,undocumented,construction_worker,construction,6,basic,associate,50,59637,4,3,self-employed
120,Colombia,undocumented,driver,cleaning,4,basic,master,44,46744,9,7,full-time
121,Mexico,marriage,teacher,healthcare,6,basic,high_school,42,87751,10,3,full-time
122,China,marriage,engineer,IT,10,basic,high_school,48,123707,8,4,self-employed
123,Colombia,undocumented,teacher,IT,2,basic,master,39,117004,10,6,part-time
124,Mexico,work_visa,engineer,IT,11,advanced,high_school,43,74952,4,8,self-employed
125,Colombia,work_visa,accountant,delivery,3,advanced,high_school,58,49517,5,4,self-employed
126,Brazil,marriage,driver,construction,2,advanced,master,59,39829,4,6,self-employed
127,Mexico,undocumented,construction_worker,construction,10,basic,master,64,41888,4,9,full-time
128,Philippines,student_visa,farmer,IT,6,intermediate,bachelor,47,127006,4,6,part-time
129,Brazil,tourist_visa,farmer,office,9,intermediate,master,49,48298,8,8,self-employed
130,Mexico,student_visa,construction_worker,healthcare,1,basic,high_school,40,60843,9,8,part-time
131,Mexico,undocumented,accountant,cleaning,2,intermediate,high_school,46,35137,9,6,full-time
132,Colombia,marriage,driver,delivery,1,advanced,master,52,46697,5,8,full-time
133,China,work_visa,nurse,delivery,8,advanced,master,52,32041,9,4,full-time
134,Brazil,work_visa,accountant,office,10,intermediate,high_school,50,26797,8,9,self-employed
135,Colombia,undocumented,police_officer,construction,10,advanced,master,52,50364,9,7,self-employed
136,Colombia,work_visa,construction_worker,office,8,advanced,associate,43,39148,8,9,full-time
137,China,marriage,accountant,cleaning,7,intermediate,bachelor,54,49091,9,7,part-time
138,Brazil,work_visa,police_officer,cleaning,4,intermediate,high_school,48,46709,8,5,self-employed
139,India,undocumented,nurse,office,12,intermediate,associate,43,46684,4,3,full-time
140,India,marriage,police_officer,IT,3,advanced,master,50,91685,10,8,part-time
141,China,marriage,accountant,healthcare,8,advanced,master,39,69124,7,7,full-time
142,India,marriage,farmer,office,12,advanced,bachelor,57,44922,6,6,full-time
143,Mexico,marriage,farmer,construction,10,basic,associate,60,53273,6,7,full-time
144,Colombia,work_visa,police_officer,delivery,7,advanced,high_school,48,34833,9,6,self-employed
145,Brazil,tourist_visa,driver,cleaning,6,intermediate,master,57,35415,5,8,self-employed
146,China,work_visa,engineer,healthcare,12,advanced,associate,43,86295,8,3,part-time
147,Mexico,marriage,accountant,construction,11,basic,master,52,51446,5,7,self-employed
148,Brazil,undocumented,teacher,healthcare,8,advanced,bachelor,44,72776,9,5,part-time
149,Philippines,student_visa,farmer,construction,12,basic,bachelor,63,33712,7,5,self-employed
150,Brazil,tourist_visa,engineer,office,6,basic,associate,45,26284,8,5,full-time
151,Colombia,marriage,farmer,healthcare,9,basic,high_school,42,71846,10,6,self-employed
152,Brazil,undocumented,driver,cleaning,3,intermediate,master,59,49621,4,3,part-time
153,Philippines,student_visa,construction_worker,office,6,basic,master,52,35182,4,5,full-time
154,India,undocumented,nurse,delivery,3,advanced,master,41,31736,4,8,full-time
155,Mexico,undocumented,construction_worker,construction,8,basic,high_school,69,50004,4,3,self-employed
156,Mexico,tourist_visa,teacher,cleaning,2,basic,master,40,34670,7,6,self-employed
157,China,tourist_visa,construction_worker,IT,2,advanced,bachelor,48,128863,6,8,self-employed
158,China,work_visa,construction_worker,cleaning,2,intermediate,bachelor,56,37624,5,6,self-employed
159,Mexico,student_visa,teacher,cleaning,8,basic,bachelor,48,45923,8,7,full-time
160,Brazil,undocumented,teacher,office,8,intermediate,bachelor,59,43668,5,9,full-time
161,India,tourist_visa,driver,IT,2,advanced,master,46,94463,7,3,part-time
162,Mexico,tourist_visa,farmer,office,1,intermediate,bachelor,58,49646,10,9,self-employed
163,Mexico,tourist_visa,police_officer,office,8,basic,high_school,50,37215,5,7,part-time
164,China,undocumented,construction_worker,healthcare,9,basic,master,39,87525,7,7,full-time
165,Mexico,work_visa,driver,office,9,intermediate,master,55,46180,8,9,part-time
166,Mexico,work_visa,construction_worker,IT,1,basic,associate,43,95283,7,4,self-employed
167,Philippines,student_visa,teacher,office,1,intermediate,associate,53,42479,9,8,full-time
168,Brazil,student_visa,farmer,delivery,7,advanced,master,42,48884,5,7,self-employed
169,Mexico,marriage,police_officer,construction,6,advanced,master,59,57160,7,5,self-employed
170,Brazil,tourist_visa,driver,cleaning,7,basic,master,51,43699,7,4,part-time
171,India,marriage,engineer,cleaning,4,intermediate,bachelor,56,46626,10,8,part-time
172,Brazil,undocumented,driver,healthcare,4,advanced,bachelor,39,78466,9,5,full-time
173,Colombia,student_visa,police_officer,office,7,advanced,associate,60,36681,7,3,full-time
174,India,work_visa,nurse,delivery,6,advanced,associate,40,47775,9,7,full-time
175,Colombia,undocumented,farmer,construction,7,intermediate,high_school,57,41123,6,5,part-time
176,Colombia,work_visa,police_officer,delivery,11,advanced,high_school,55,31253,6,8,part-time
177,India,work_visa,accountant,office,11,advanced,bachelor,55,36781,7,5,self-employed
178,China,work_visa,nurse,construction,8,intermediate,high_school,54,32178,7,5,self-employed
179,Brazil,undocumented,farmer,IT,11,intermediate,associate,39,70205,7,3,self-employed
180,Philippines,tourist_visa,nurse,office,3,intermediate,high_school,58,39875,8,9,self-employed
181,Brazil,undocumented,engineer,delivery,9,advanced,associate,58,31516,7,6,self-employed
182,Mexico,student_visa,accountant,delivery,10,intermediate,bachelor,41,31265,7,4,full-time
183,Brazil,marriage,construction_worker,construction,6,basic,master,59,38457,8,8,part-time
184,Philippines,tourist_visa,driver,healthcare,10,advanced,master,44,83802,6,9,full-time
185,Mexico,work_visa,farmer,delivery,5,advanced,high_school,49,28118,10,7,part-time
186,Philippines,student_visa,construction_worker,IT,3,intermediate,associate,40,110147,9,8,self-employed
187,China,student_visa,construction_worker,construction,3,intermediate,high_school,52,33973,5,4,self-employed
188,India,undocumented,police_officer,IT,3,intermediate,associate,45,74882,9,8,part-time
189,Mexico,tourist_visa,farmer,IT,12,advanced,bachelor,47,86884,6,5,self-employed
190,India,work_visa,teacher,delivery,8,intermediate,bachelor,56,30256,8,7,part-time
191,India,work_visa,construction_worker,construction,9,advanced,master,67,51062,9,3,self-employed
192,Colombia,student_visa,engineer,cleaning,12,basic,high_school,47,34485,8,8,part-time
193,Mexico,tourist_visa,construction_worker,delivery,2,advanced,high_school,49,42133,7,3,part-time
194,Mexico,marriage,accountant,office,5,intermediate,associate,53,30599,10,4,full-time
195,India,student_visa,accountant,cleaning,12,advanced,associate,52,48332,8,8,self-employed
196,Philippines,marriage,teacher,healthcare,10,advanced,associate,40,74236,4,6,full-time
197,Brazil,student_visa,police_officer,IT,1,intermediate,master,45,120096,9,3,self-employed
198,China,marriage,farmer,construction,7,basic,bachelor,66,46242,4,4,part-time
199,Colombia,marriage,engineer,healthcare,12,basic,master,39,65048,5,9,part-time
200,Philippines,undocumented,construction_worker,construction,6,intermediate,high_school,69,37885,8,6,full-time
201,Brazil,undocumented,farmer,cleaning,12,advanced,high_school,44,41297,10,7,self-employed
202,China,work_visa,police_officer,office,10,intermediate,master,60,25666,8,7,full-time
203,Colombia,tourist_visa,teacher,cleaning,9,intermediate,master,50,45593,10,4,part-time
204,Brazil,tourist_visa,nurse,delivery,4,advanced,bachelor,43,36418,5,5,full-time
205,China,tourist_visa,police_officer,IT,11,basic,high_school,44,83553,6,8,full-time
206,Mexico,student_visa,construction_worker,cleaning,6,basic,high_school,55,30327,4,4,full-time
207,India,undocumented,accountant,cleaning,4,basic,associate,47,35432,10,7,full-time
208,Colombia,marriage,driver,construction,2,advanced,bachelor,54,36106,9,3,full-time
209,Brazil,tourist_visa,driver,healthcare,4,basic,bachelor,44,88730,6,8,part-time
210,China,undocumented,construction_worker,construction,5,basic,high_school,64,42622,6,7,part-time
211,India,work_visa,farmer,office,2,intermediate,high_school,52,44783,7,6,full-time
212,Mexico,tourist_visa,accountant,cleaning,10,advanced,master,41,42090,4,6,full-time
213,Colombia,work_visa,accountant,cleaning,6,basic,master,46,37950,5,6,self-employed
214,Philippines,work_visa,engineer,delivery,9,intermediate,master,55,49493,8,4,part-time
215,China,student_visa,driver,cleaning,5,advanced,associate,52,30075,6,6,full-time
216,Colombia,undocumented,driver,construction,1,intermediate,associate,56,48111,7,5,full-time
217,India,tourist_visa,farmer,construction,7,advanced,master,57,35104,4,9,self-employed
218,Brazil,tourist_visa,engineer,healthcare,4,intermediate,master,40,85339,10,8,part-time
219,China,work_visa,teacher,office,12,basic,master,59,27388,10,4,self-employed
220,China,student_visa,police_officer,cleaning,1,advanced,bachelor,44,48726,10,3,full-time
221,India,work_visa,driver,healthcare,7,advanced,bachelor,42,72807,9,9,part-time
222,Mexico,marriage,nurse,office,3,basic,associate,41,47138,5,3,part-time
223,China,student_visa,farmer,construction,2,advanced,bachelor,64,39062,8,4,part-time
224,China,marriage,construction_worker,office,5,intermediate,associate,60,42787,4,9,self-employed
225,Brazil,tourist_visa,construction_worker,office,5,intermediate,associate,52,45985,4,6,part-time
226,Colombia,work_visa,police_officer,office,11,intermediate,high_school,55,29379,4,8,part-time
227,Philippines,undocumented,farmer,office,7,basic,high_school,51,36645,5,7,part-time
228,Colombia,undocumented,police_officer,construction,7,basic,high_school,63,32661,10,5,part-time
229,China,undocumented,police_officer,construction,11,advanced,bachelor,63,40195,7,7,part-time
230,Philippines,undocumented,farmer,IT,2,basic,associate,43,70844,9,6,self-employed
231,Colombia,tourist_visa,nurse,office,7,intermediate,master,59,43155,10,3,full-time
232,Philippines,marriage,accountant,office,4,advanced,bachelor,57,47612,9,6,full-time
233,India,tourist_visa,nurse,healthcare,3,advanced,master,45,74186,4,9,self-employed
234,Mexico,tourist_visa,police_officer,IT,9,intermediate,associate,48,100744,6,4,part-time
235,Brazil,tourist_visa,teacher,cleaning,7,advanced,associate,40,46949,10,6,full-time
236,India,tourist_visa,teacher,healthcare,4,basic,associate,44,60587,4,8,full-time
237,Philippines,work_visa,accountant,office,1,basic,associate,55,48351,10,6,part-time
238,India,student_visa,teacher,healthcare,6,intermediate,bachelor,44,60170,7,6,full-time
239,Colombia,marriage,engineer,healthcare,8,advanced,high_school,43,70485,8,4,self-employed
240,Mexico,student_visa,driver,IT,10,intermediate,bachelor,50,83660,6,9,full-time
241,China,undocumented,teacher,healthcare,10,advanced,associate,44,86369,9,8,self-employed
242,China,tourist_visa,driver,IT,9,intermediate,bachelor,43,85173,5,3,full-time
243,Colombia,marriage,nurse,office,1,advanced,master,60,48664,7,3,self-employed
244,Philippines,undocumented,accountant,cleaning,4,advanced,high_school,50,43048,5,5,part-time
245,China,work_visa,engineer,cleaning,6,intermediate,bachelor,44,39576,5,7,part-time
246,Mexico,work_visa,engineer,office,5,advanced,associate,55,44642,8,9,self-employed
247,China,student_visa,construction_worker,delivery,2,intermediate,associate,48,46250,9,5,self-employed
248,India,tourist_visa,driver,office,1,advanced,master,52,43909,7,3,self-employed
249,Brazil,work_visa,teacher,cleaning,4,basic,master,45,42661,5,4,full-time
250,China,undocumented,nurse,IT,5,intermediate,bachelor,43,103703,6,6,part-time
251,India,student_visa,police_officer,IT,11,basic,bachelor,42,95902,6,9,self-employed
252,Colombia,tourist_visa,engineer,delivery,11,basic,associate,58,33912,5,7,full-time
253,China,marriage,police_officer,healthcare,1,intermediate,master,38,72359,10,4,part-time
254,China,marriage,nurse,IT,4,advanced,associate,41,76684,4,4,part-time
255,Brazil,student_visa,police_officer,construction,1,intermediate,master,50,54905,5,9,full-time
256,Mexico,student_visa,teacher,office,9,basic,master,48,39531,9,9,self-employed
257,China,tourist_visa,accountant,delivery,6,basic,associate,57,35294,9,4,self-employed
258,Brazil,student_visa,accountant,cleaning,8,advanced,associate,41,30822,10,7,part-time
259,Colombia,student_visa,engineer,construction,1,advanced,high_school,70,30989,5,8,full-time
260,China,student_visa,engineer,IT,11,intermediate,high_school,41,119794,10,8,full-time
261,India,work_visa,nurse,construction,8,basic,master,69,33789,4,4,self-employed
262,Brazil,student_visa,engineer,construction,6,intermediate,master,63,57894,9,3,full-time
263,Brazil,undocumented,driver,healthcare,5,advanced,bachelor,39,77480,7,7,full-time
264,India,undocumented,construction_worker,cleaning,12,intermediate,bachelor,59,40992,7,4,self-employed
265,China,tourist_visa,teacher,office,12,basic,master,60,41130,9,5,part-time
266,India,work_visa,nurse,cleaning,7,advanced,associate,42,37692,9,9,full-time
267,Philippines,student_visa,police_officer,office,2,advanced,high_school,43,26023,6,7,part-time
268,Mexico,tourist_visa,accountant,IT,7,advanced,associate,45,86555,7,7,self-employed
269,Mexico,undocumented,police_officer,construction,4,intermediate,bachelor,60,35499,9,7,self-employed
270,Brazil,work_visa,teacher,construction,6,intermediate,bachelor,51,40455,5,8,part-time
271,Brazil,work_visa,farmer,delivery,1,intermediate,master,41,38763,5,3,full-time
272,India,tourist_visa,driver,office,9,basic,master,43,28874,4,9,full-time
273,Brazil,tourist_visa,accountant,office,6,advanced,master,43,45424,9,9,self-employed
274,Brazil,undocumented,farmer,cleaning,9,advanced,master,52,42333,8,7,full-time
275,India,work_visa,engineer,office,8,intermediate,high_school,41,42837,5,8,full-time
276,China,marriage,driver,IT,5,basic,master,44,128192,5,8,full-time
277,Brazil,tourist_visa,police_officer,office,5,basic,master,51,26545,9,6,part-time
278,China,student_visa,construction_worker,cleaning,3,advanced,bachelor,51,46588,7,6,self-employed
279,China,marriage,driver,office,9,intermediate,high_school,50,42606,6,8,self-employed
280,India,work_visa,nurse,construction,5,basic,master,66,55965,5,5,full-time
281,Philippines,work_visa,police_officer,IT,7,advanced,high_school,48,118121,7,5,self-employed
282,Colombia,student_visa,farmer,healthcare,4,advanced,master,45,72988,4,6,full-time
283,Philippines,student_visa,farmer,cleaning,10,intermediate,bachelor,42,40713,10,7,part-time
284,China,undocumented,teacher,office,3,intermediate,master,53,25987,7,7,part-time
285,Mexico,marriage,accountant,IT,4,advanced,high_school,39,104228,10,6,self-employed
286,Colombia,tourist_visa,farmer,cleaning,6,advanced,bachelor,40,28128,5,6,part-time
287,Philippines,work_visa,accountant,delivery,12,basic,high_school,58,30196,7,3,self-employed
288,India,tourist_visa,accountant,healthcare,12,advanced,bachelor,40,67345,6,9,full-time
289,Brazil,tourist_visa,accountant,healthcare,6,advanced,associate,38,70789,9,8,part-time
290,Philippines,tourist_visa,driver,cleaning,2,advanced,associate,50,42381,6,5,part-time
291,Colombia,student_visa,accountant,office,8,basic,master,49,39824,4,5,full-time
292,Colombia,undocumented,construction_worker,healthcare,4,intermediate,master,38,87043,7,8,full-time
293,China,student_visa,farmer,healthcare,7,basic,bachelor,41,86437,4,9,full-time
294,India,tourist_visa,farmer,cleaning,1,intermediate,associate,41,25104,9,7,full-time
295,Colombia,undocumented,accountant,IT,11,basic,high_school,40,87931,4,6,part-time
296,China,tourist_visa,nurse,office,1,advanced,high_school,51,49023,5,6,part-time
297,Philippines,student_visa,construction_worker,delivery,3,advanced,high_school,50,27442,6,5,full-time
298,Brazil,undocumented,farmer,cleaning,10,advanced,bachelor,48,47921,8,9,self-employed
299,Colombia,tourist_visa,police_officer,healthcare,11,advanced,associate,41,69612,10,5,full-time
300,Philippines,tourist_visa,engineer,delivery,2,advanced,bachelor,50,42999,6,3,part-time
